customer_id,account_num,address1,address2,address3,address4,city,state_province,postal_code,country,customer_region_id,phone1,phone2,birthdate,marital_status,yearly_income,gender,total_children,num_children_at_home,education,date_accnt_opened,member_card,occupation,houseowner,num_cars_owned
1,87462024688,2433 Bailey Road,\N,\N,\N,Tlaxiaco,Oaxaca,15057,Mexico,30,271-555-9715,119-555-1969,1961-08-26,M,$30K - $50K,F,4,2,Partial High School,1991-09-10,Bronze,Skilled Manual,Y,4
2,87470586299,2219 Dewing Avenue,\N,\N,\N,Sooke,BC,17172,Canada,101,211-555-7669,807-555-9033,1915-07-03,S,$70K - $90K,M,1,0,Partial High School,1993-03-11,Bronze,Professional,N,3
3,87475757600,7640 First Ave.,\N,\N,\N,Issaquah,WA,73980,USA,21,656-555-2272,221-555-2493,1910-06-21,M,$50K - $70K,F,1,1,Bachelors Degree,1991-06-11,Bronze,Professional,Y,2
4,87500482201,337 Tosca Way,\N,\N,\N,Burnaby,BC,74674,Canada,92,929-555-7279,272-555-2844,1969-06-20,M,$10K - $30K,M,4,4,Partial High School,1994-05-21,Normal,Skilled Manual,N,2
5,87514054179,8668 Via Neruda,\N,\N,\N,Novato,CA,57355,USA,42,387-555-7172,260-555-6936,1951-05-10,S,$30K - $50K,F,3,0,Partial College,1992-08-21,Silver,Manual,N,3
6,87517782449,1619 Stillman Court,\N,\N,\N,Lynnwood,WA,90792,USA,75,922-555-5465,333-555-5915,1942-10-08,S,$70K - $90K,F,3,0,Bachelors Degree,1992-04-05,Bronze,Professional,Y,3
7,87521172800,2860 D Mt. Hood Circle,\N,\N,\N,Tlaxiaco,Oaxaca,13343,Mexico,30,515-555-6247,934-555-9211,1949-03-27,M,$30K - $50K,F,2,1,Partial High School,1991-05-01,Bronze,Manual,Y,3
8,87539744377,6064 Brodia Court,\N,\N,\N,San Andres,DF,12942,Mexico,106,411-555-6825,130-555-6818,1922-08-10,M,$50K - $70K,M,2,2,Bachelors Degree,1992-06-11,Bronze,Professional,Y,3
9,87544797658,7560 Trees Drive,\N,\N,\N,Richmond,BC,17256,Canada,90,815-555-3975,642-555-6483,1979-06-23,M,$10K - $30K,M,5,3,Partial High School,1993-11-14,Normal,Skilled Manual,Y,1
10,87568712234,1019 Kenwal Rd.,\N,\N,\N,Lake Oswego,OR,82017,USA,64,847-555-5443,212-555-8635,1949-08-26,S,$30K - $50K,M,4,0,Bachelors Degree,1993-05-04,Golden,Management,N,4
11,87572821378,5423 Camby Rd.,\N,\N,\N,La Mesa,CA,35890,USA,11,612-555-4878,747-555-6928,1967-06-20,S,$50K - $70K,M,4,0,High School Degree,1992-04-23,Bronze,Manual,N,2
12,87579237222,1792 Belmont Rd.,\N,\N,\N,Chula Vista,CA,40520,USA,13,555-555-2714,228-555-5450,1971-10-18,S,$30K - $50K,F,1,0,High School Degree,1991-07-06,Bronze,Skilled Manual,N,3
13,87587122917,3796 Keller Ridge,\N,\N,\N,Mexico City,Mexico,59554,Mexico,2,343-555-9778,785-555-2371,1975-10-12,S,$30K - $50K,M,4,0,High School Degree,1990-10-09,Bronze,Manual,N,4
14,87592626810,3074 Ardith Drive,\N,\N,\N,Lincoln Acres,CA,30346,USA,10,659-555-3160,640-555-5439,1912-07-09,M,$50K - $70K,F,2,2,Bachelors Degree,1992-10-19,Bronze,Management,Y,2
15,87597749829,7987 Seawind Dr.,\N,\N,\N,Oak Bay,BC,15542,Canada,99,471-555-8853,560-555-4646,1941-11-05,S,$90K - $110K,M,3,0,Graduate Degree,1991-08-09,Bronze,Professional,Y,3
